NAMES                                   STATUS                         PORTS
pyairtable-compose-tenant-dashboard-1   Up 20 minutes (unhealthy)      0.0.0.0:3004->3002/tcp
otel-collector                          Up 54 minutes                  0.0.0.0:8889->8889/tcp, 0.0.0.0:13133->13133/tcp, 55678-55679/tcp, 0.0.0.0:4320->4317/tcp, 0.0.0.0:4319->4318/tcp
tempo                                   Up 49 minutes                  0.0.0.0:3200->3200/tcp, 0.0.0.0:4317-4318->4317-4318/tcp, 0.0.0.0:14268->14268/tcp
mimir                                   Up About an hour               0.0.0.0:7946->7946/tcp, 0.0.0.0:8081->8080/tcp
minio                                   Up About an hour (unhealthy)   0.0.0.0:9000-9001->9000-9001/tcp
grafana                                 Up 6 hours                     0.0.0.0:3001->3000/tcp
loki                                    Up 6 hours                     0.0.0.0:3100->3100/tcp
pyairtable-compose-llm-orchestrator-1   Up 22 hours                    0.0.0.0:8003->8003/tcp
pyairtable-compose-mcp-server-1         Up 22 hours                    0.0.0.0:8001->8001/tcp
pyairtable-compose-api-gateway-1        Up 23 hours                    0.0.0.0:8000->8000/tcp
pyairtable-compose-airtable-gateway-1   Up 23 hours                    0.0.0.0:8002->8002/tcp
pyairtable-compose-postgres-1           Up 23 hours                    5432/tcp
pyairtable-compose-redis-1              Up 23 hours                    6379/tcp
go-services-api-gateway-1               Up 23 hours (unhealthy)        0.0.0.0:8080->8080/tcp
go-services-permission-service-1        Up 23 hours (unhealthy)        0.0.0.0:8085->8085/tcp
go-services-postgres-1                  Up 23 hours (healthy)          0.0.0.0:5432->5432/tcp
go-services-redis-1                     Up 23 hours (healthy)          0.0.0.0:6379->6379/tcp
